Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_231010_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,3,23,10,3/08/2015,23:10,3/08/2015,SM2-BXL,7,29,128,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_231015_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,ENVsp,1,Eptser,0,2015,8,3,23,10,3/08/2015,23:10,3/08/2015,SM2-BXL,6,34,0,6,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_235655_000.wav,P. Nyssen,Eptser,ENVsp,Main,ENVsp,10,Eptser,4,2015,8,3,23,56,3/08/2015,23:56,3/08/2015,SM2-BXL,20,27,180,9,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_023858_144.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,8,Myobec,0,2015,8,4,2,38,4/08/2015,2:38,3/08/2015,SM2-BXL,61,41,73,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_023903_144.wav,P. Nyssen,Myosp,Myosp,Main,Myosp,7,Myobec,3,2015,8,4,2,39,4/08/2015,2:39,3/08/2015,SM2-BXL,13,38,73,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_030601_416.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,4,3,6,4/08/2015,3:06,3/08/2015,SM2-BXL,8,29,170,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_042555_425.wav,P. Nyssen,Pipnat,Pipnat,Main,Pip35,10,Pipnat,9,2015,8,4,4,25,4/08/2015,4:25,3/08/2015,SM2-BXL,18,38,204,10,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_050435_823.wav,P. Nyssen,Myosp,ChiroSp,Main,Pip35,3,Pipkuh,3,2015,8,4,5,4,4/08/2015,5:04,3/08/2015,SM2-BXL,54,42,91,5,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150804_054348_215.wav,P. Nyssen,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,4,5,43,4/08/2015,5:43,3/08/2015,SM2-BXL,25,48,72,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/NOISE/,SM2-BXL_20150801_222125_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myobec,1,2015,8,1,22,21,1/08/2015,22:21,1/08/2015,SM2-BXL,2,35,0,4,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
