Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site ,Zone,site Natura 2000,Habitat1,Habitat2,Machine,Opérateur,Projet
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180627_041724_965.wav,ChiroSp,Myomyo,C. Brabant,Principal,Myosp,4,Myonat,4,2018,6,27,4,17,27/06/2018,4:17,26/06/2018,A-LPB,74,29,46,8,6,2,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180814_005410_000.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,8,Myomys,3,2018,8,14,0,54,14/08/2018,0:54,13/08/2018,S4U00311,72,49,0,7,2,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_222505_000.wav,ChiroSp,Myodau,P. Nyssen,Principal,Myosp,4,Myomys,1,2018,8,8,22,25,8/08/2018,22:25,8/08/2018,C-LPB,68,48,60,6,4,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_025416_390.wav,ChiroSp,Myodau,P. Nyssen,Principal,Myosp,3,Myomys,1,2018,8,8,2,54,8/08/2018,2:54,7/08/2018,C-LPB,68,47,0,6,7,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_011735_877.wav,ChiroSp,PippiT,P. Nyssen,Principal,Myosp,2,Myoema,2,2018,8,8,1,17,8/08/2018,1:17,7/08/2018,C-LPB,67,56,20,3,2,3,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_223954_000.wav,ChiroSp,Myosp,P. Nyssen,Principal,Myosp,5,Myobra,0,2018,8,8,22,39,8/08/2018,22:39,8/08/2018,A-LPB,64,45,53,4,2,1,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_035806_163.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,0,2018,8,9,3,58,9/08/2018,3:58,8/08/2018,C-LPB,63,47,0,5,2,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_012825_000.wav,ChiroSp,Myonat,C. Brabant,Principal,Myosp,5,Myonat,3,2018,8,15,1,28,15/08/2018,1:28,14/08/2018,S4U00311,61,34,61,5,5,4,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180617_001140_221.wav,ChiroSp,Myoalc,C. Brabant - P. Nyssen,Principal,Myosp,2,Myoalc,2,2018,6,17,0,11,17/06/2018,0:11,16/06/2018,A-LPB,59,52,0,3,0,0,Roche Madoux point 1,Fagne,BE35030,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2E/WAV/,E-LPB_20180817_220340_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myodau,3,2018,8,17,22,3,17/08/2018,22:03,17/08/2018,E-LPB,56,49,79,4,2,0,Baquet grande fagne,Fagne,BE35019,Plan d'eau - mare (< 50m²),Haie,SM2-E,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_220839_000.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,8,Myobra,0,2018,8,8,22,8,8/08/2018,22:08,8/08/2018,A-LPB,55,45,59,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180814_030702_000.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,6,Myobec,2,2018,8,14,3,7,14/08/2018,3:07,13/08/2018,S4U00311,53,44,0,6,2,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
