Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981572_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,1,47,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981609_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,8,2017,9,19,-,-,19/09/2017,-,-,-,8,45,0,5,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981626_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,9,2017,9,19,-,-,19/09/2017,-,-,-,3,47,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981638_20170919_00000_000.wav,ChiroSp,parasi,C. Brabant,Principal,Myosp,0,Myobra,0,2017,9,19,-,-,19/09/2017,-,-,-,1,40,0,1,3,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981657_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,2,parasi,2,2017,9,19,-,-,19/09/2017,-,-,-,3,40,0,2,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981658_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,1,parasi,1,2017,9,19,-,-,19/09/2017,-,-,-,3,37,0,1,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981663_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,9,2017,9,19,-,-,19/09/2017,-,-,-,4,44,0,5,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981754_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,8,PippiT,8,2017,9,19,-,-,19/09/2017,-,-,-,4,46,0,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981791_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,35,47,85,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981847_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,1,parasi,1,2017,9,19,-,-,19/09/2017,-,-,-,2,34,0,0,2,0,1) abri animaux,18802
