Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230025_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,8,2015,8,2,23,0,2/08/2015,23:00,2/08/2015,SM2-BXL,9,47,130,7,5,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_0_20150802_230135_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,ENVsp,0,Eptser,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,2,29,0,4,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230140_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,Plesp,0,Pleaur,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,32,38,130,7,4,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230145_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,ENVsp,0,Vesmur,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,4,29,135,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230410_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,8,2015,8,2,23,4,2/08/2015,23:04,2/08/2015,SM2-BXL,5,47,58,8,5,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230415_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,23,4,2/08/2015,23:04,2/08/2015,SM2-BXL,8,45,186,8,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230530_000.wav,,PippiT,PippiT,Main,Pip50,7,PippiT,7,2015,8,2,23,5,2/08/2015,23:05,2/08/2015,SM2-BXL,9,44,64,6,5,1,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_230535_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,23,5,2/08/2015,23:05,2/08/2015,SM2-BXL,17,44,93,7,4,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_231010_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,4,2015,8,2,23,10,2/08/2015,23:10,2/08/2015,SM2-BXL,14,28,340,9,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_231015_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,0,Vesmur,0,2015,8,2,23,10,2/08/2015,23:10,2/08/2015,SM2-BXL,6,26,0,5,5,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
